medium_id	original	mapped	value	concentration	unit	mmol_l	optional	source	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	hydration_confidence	hydration_parsing_method	corrected_mmol_l	base_compound_for_mapping	hydration_state
dsmz_860	NiCl2 6-hydrate	CHEBI:34887						json	NiCl2	NiCl2	6	NiCl2.6H2O	CHEBI:34887	nickel(2+) chloride	Cl2Ni	129.6	108.09	237.69	high	direct_parse		NiCl2 6-hydrate	anhydrous
dsmz_860	Na2MoO4 2-hydrate	CHEBI:75215						json	Na2MoO4	Na2MoO4	2	Na2MoO4.2H2O	CHEBI:75215	sodium molybdate	MoNa2O4	205.92	36.03	241.95	high	direct_parse		Na2MoO4 2-hydrate	anhydrous
dsmz_1247	Yeast extract	CAS-RN:8013-01-2	3.0		g/L			json	Yeast extract	Yeastextract	0	Yeastextract				100.0	0.0	100.0	high	no_hydration	30.0	Yeast extract	anhydrous
dsmz_1247	Beef extract	ingredient:85	2.0		g/L			json	Beef extract	Beefextract	0	Beefextract				100.0	0.0	100.0	high	no_hydration	20.0	Beef extract	anhydrous
dsmz_1247	Tryptone	CAS-RN:84843-69-6	6.0		g/L			json	Tryptone	Tryptone	0	Tryptone				100.0	0.0	100.0	high	no_hydration	60.0	Tryptone	anhydrous
dsmz_1247	FeCl3	CHEBI:30808	0.1		g/L			json	FeCl3	FeCl3	0	FeCl3	CHEBI:30808	iron(2+) chloride	Cl2Fe	162.2	0.0	162.2	high	no_hydration	0.616523	FeCl3	anhydrous
dsmz_1247	NaCl	CHEBI:26710	3.0		g/L			json	NaCl	NaCl	0	NaCl	CHEBI:26710	sodium chloride	NaCl	58.44	0.0	58.44	high	no_hydration	51.334702	NaCl	anhydrous
dsmz_1247	Medium may be solidified with 15.0 g/l agar. pH 7.0		1000.0		ml/L			json	Medium may be solidified with 15.0 g/l agar. pH 7.0	Mediummaybesolidifiedwith15.0g/lagar.pH7.0	0	Mediummaybesolidifiedwith15.0g/lagar.pH7.0				100.0	0.0	100.0	high	no_hydration	10000.0	Medium may be solidified with 15.0 g/l agar. pH 7.0	anhydrous
dsmz_1247	solidified		15.0		g/L			json	solidified	solidified	0	solidified				100.0	0.0	100.0	high	no_hydration	150.0	solidified	anhydrous
dsmz_1044	Glucose	CHEBI:42758	50.0		g/L			json	Glucose	Glucose	0	Glucose	CHEBI:42758	D-glucose	C6H12O6	100.0	0.0	100.0	high	no_hydration	500.0	Glucose	anhydrous
dsmz_1044	Yeast extract	CAS-RN:8013-01-2	5.0		g/L			json	Yeast extract	Yeastextract	0	Yeastextract				100.0	0.0	100.0	high	no_hydration	50.0	Yeast extract	anhydrous
dsmz_1044	Agar	CHEBI:2509	15.0		g/L			json	Agar	Agar	0	Agar	CHEBI:2509			100.0	0.0	100.0	high	no_hydration	150.0	Agar	anhydrous
dsmz_1641	Yeast extract	CAS-RN:8013-01-2	1.0		g/L			json	Yeast extract	Yeastextract	0	Yeastextract				100.0	0.0	100.0	high	no_hydration	10.0	Yeast extract	anhydrous
dsmz_1641	Proteose Peptone		1.0		g/L			json	Proteose Peptone	ProteosePeptone	0	ProteosePeptone				100.0	0.0	100.0	high	no_hydration	10.0	Proteose Peptone	anhydrous
dsmz_1641	Glucose	CHEBI:42758	1.0		g/L			json	Glucose	Glucose	0	Glucose	CHEBI:42758	D-glucose	C6H12O6	100.0	0.0	100.0	high	no_hydration	10.0	Glucose	anhydrous
dsmz_1641	K2HPO4	CHEBI:131527	1.0		g/L			json	K2HPO4	K2HPO4	0	K2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HK2O4P	100.0	0.0	100.0	high	no_hydration	10.0	K2HPO4	anhydrous
dsmz_1641	MgSO4 7-hydrate	CHEBI:32599	1.0		g/L			json	MgSO4	MgSO4	7	MgSO4.7H2O	CHEBI:32599	magnesium sulfate	MgO4S	120.37	126.105	246.475	high	direct_parse	10.0	MgSO4 7-hydrate	anhydrous
dsmz_1641	Agar	CHEBI:2509	0.6		g/L			json	Agar	Agar	0	Agar	CHEBI:2509			100.0	0.0	100.0	high	no_hydration	6.0	Agar	anhydrous
dsmz_1442	Yeast extract	CAS-RN:8013-01-2	2.0		g/L			json	Yeast extract	Yeastextract	0	Yeastextract				100.0	0.0	100.0	high	no_hydration	20.0	Yeast extract	anhydrous
dsmz_1442	Glucose	CHEBI:42758	0.25		g/L			json	Glucose	Glucose	0	Glucose	CHEBI:42758	D-glucose	C6H12O6	100.0	0.0	100.0	high	no_hydration	2.5	Glucose	anhydrous
dsmz_1442	0.1M Tris/HCl at pH 7.5		0.25		g/L			json	0.1M Tris/HCl at pH 7.5	0.1MTris/HClatpH7.5	0	0.1MTris/HClatpH7.5				100.0	0.0	100.0	high	no_hydration	2.5	0.1M Tris/HCl at pH 7.5	anhydrous
dsmz_1442	Agar	CHEBI:2509	10.0		ml/L			json	Agar	Agar	0	Agar	CHEBI:2509			100.0	0.0	100.0	high	no_hydration	100.0	Agar	anhydrous
dsmz_1442	For agar plates increase the pH of the Tris/HCl buffer to 8.5.		50.0		ml/L			json	For agar plates increase the pH of the Tris/HCl buffer to 8.5.	ForagarplatesincreasethepHoftheTris/HClbufferto8.5.	0	ForagarplatesincreasethepHoftheTris/HClbufferto8.5.				100.0	0.0	100.0	high	no_hydration	500.0	For agar plates increase the pH of the Tris/HCl buffer to 8.5.	anhydrous
dsmz_1442	Biotin	CHEBI:15956	250.0		ml/L			json	Biotin	Biotin	0	Biotin	CHEBI:15956	biotin	C10H16N2O3S	100.0	0.0	100.0	high	no_hydration	2500.0	Biotin	anhydrous
dsmz_1442	Thiamine-HCl 2-hydrate		18.0		g/L			json	Thiamine-HCl	Thiamine-HCl	2	Thiamine-HCl.2H2O				36.458000000000006	36.03	72.488	high	direct_parse	180.0	Thiamine-HCl	hydrated
