medium_id	original	mapped	chebi_label	chebi_formula	value	concentration	unit	mmol_l	optional	source	normalized_compound	hydration_number	chebi_match	chebi_id	chebi_original_name	similarity_score	match_confidence	matching_method	mapping_status	mapping_quality	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	hydration_state	hydration_parsing_method	hydration_confidence	base_compound_for_mapping	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	corrected_mmol_l	hydrated_chebi_id	hydrated_chebi_label	hydrate_mapping_source
ccap_ASW_BG_composition	Na2HPO4	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na	1.0		g			json		0							original_only	good	Na2HPO4	Na2HPO4		Na2HPO4					no_hydration	high		141.96	0.0	141.96	7.044238			
ccap_ASW_BG_composition	Na2MoO4.2H2O	CHEBI:75213	sodium molybdate dihydrate	2H2O.MoO4.2Na	2.0		M			json		2							original_only	good	Na2MoO4	Na2MoO4		Na2MoO4.2H2O					hydrate_pattern	high		100.0	36.03	136.03	14.702639			no_match
ccap_ASW_BG_composition	NaNO3	CHEBI:63005			1.0		g			json		0							original_only	good	NaNO3	NaNO3		NaNO3					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_BG_composition	ZnSO4.7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn	1.0		g			json		7							original_only	good	ZnSO4	ZnSO4		ZnSO4.7H2O	CHEBI:62984				hydrate_pattern	high		161.47	126.105	287.575	3.477354			no_match
ccap_ASW_Barley_composition	Biotin	CHEBI:15956	biotin	C10H16N2O3S	1.0		g			json		0							original_only	good	Biotin	Biotin		Biotin					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_Barley_composition	Calcium pantothenate	CHEBI:31345	Calcium pantothenate	2C9H16NO5.Ca	1.0		g			json		0							original_only	good	Calcium pantothenate	Calciumpantothenate		Calciumpantothenate					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_Barley_composition	Cyanocobalamin	CHEBI:17439	cyanocob(III)alamin	C63H88CoN14O14P	1.0		g			json		0							original_only	good	Cyanocobalamin	Cyanocobalamin		Cyanocobalamin					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_Barley_composition	Folic acid	CHEBI:27470	folic acid	C19H19N7O6	1.0		g			json		0							original_only	good	Folic acid	Folicacid		Folicacid					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_Barley_composition	K2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HO4P.2K	1.0		g			json		0							original_only	good	K2HPO4	K2HPO4		K2HPO4					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_Barley_composition	Na2HPO4	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na	1.0		g			json		0							original_only	good	Na2HPO4	Na2HPO4		Na2HPO4					no_hydration	high		141.96	0.0	141.96	7.044238			
