original_name	mapped_id	chebi_label	chebi_formula
Trace minerals solution (see Medium No.228)	ingredient:1982		
Trace minerals(see Medium No.151)	ingredient:1883		
Trace vitamin (see Medium No.197)	ingredient:1784		
Trace vitamins (See Medium No.197)	ingredient:1784		
Trace vitamins (see Medium No.197)	ingredient:1784		
Trace vitamins (see Medium No.197)*	ingredient:1784		
Trace vitamins solution (see Medium No.284)	ingredient:1982		
Trace vitamins solution (see Medium No.284)*	ingredient:1982		
Trace vitamins solution (see Medium No.682)	ingredient:1982		
Trace vitamins(see Medium No.197)	ingredient:1784		
Trace vitamins* (see Medium No. 197)	ingredient:1784		
Trace vitamins* (see Medium No.197)	ingredient:1784		
trans-Cinnamic acid	CHEBI:35697	trans-cinnamic acid	C9H8O2
Tri-sodium citrate	CHEBI:53258	sodium citrate	C6H5O7.3Na
Triethanolamine	CHEBI:28621	triethanolamine	C6H15NO3
Trimethylamine-HCl	CAS-RN:593-81-7		
Trimethylamine·HCl	CAS-RN:593-81-7		
TRIS	CHEBI:9754	tris	C4H11NO3
Tris (hydroxymethyl aminomethane)	CHEBI:9754	tris	C4H11NO3
Tris [tris(hydroxymethyl)aminomethane]	CHEBI:9754	tris	C4H11NO3
Tris base	CHEBI:9754	tris	C4H11NO3
Tris buffer 1M	CHEBI:9754	tris	C4H11NO3
Tris HCl	CHEBI:1185531		
Tris(hydroxymethyl)aminomethane	CHEBI:9754	tris	C4H11NO3
Tris(hydroxymethyl)methylamine	CHEBI:44356	N-tris(hydroxymethyl)methyl-2-aminoethanesulfonic acid	C6H15NO6S
Tris-HCl	CHEBI:1185531		
Tris-HCl buffer	CAS-RN:1185-53-1		
Trisodium citrate	CHEBI:53258	sodium citrate	C6H5O7.3Na
Trisodium Citrate	CHEBI:53258	sodium citrate	C6H5O7.3Na
Trisodium citrate dehydrate	CHEBI:32142	sodium citrate dihydrate	C6H5O7.2H2O.3Na
Trisodium Citrate Dihydrate	CHEBI:32142	sodium citrate dihydrate	C6H5O7.2H2O.3Na
Trisodium citrate x 2 H2O	CHEBI:53258	sodium citrate	C6H5O7.3Na
Trisodium citrate x 3 H2O	CHEBI:53258	sodium citrate	C6H5O7.3Na
Trisodium citrate x H2O	PUBCHEM.COMPOUND:6224.0		
Trisodium citrate·2H2O	CHEBI:53258	sodium citrate	C6H5O7.3Na
Trisodium citrate·3H2O	CHEBI:53258	sodium citrate	C6H5O7.3Na
Trisodium citrate·H2O	PubChem:71474		
Tris [tris(hydroxymethyl)aminomethane]	CHEBI:9754	tris	C4H11NO3
Tris·HCl	CHEBI:1185531		
Tropic Marine salt	ingredient:1530		
Tryptic Digest of beef heart	ingredient:662		
Tryptic digest of beef heart	ingredient:662		
Trypticase	CHEBI:78018	dodecylphosphocholine	C17H38NO4P
Trypticase Soy Broth	ingredient:99		
Trypticase soy broth	ingredient:99		
tryptone	CAS-RN:84843-69-6		
Tryptone	CAS-RN:84843-69-6		
Tween 20	CHEBI:9784		
Tween 60	CHEBI:53425	polysorbate 60	(C2H4O)w.(C2H4O)x.(C2H4O)y.(C2H4O)z.C24H46O6
Tween 80	CHEBI:53426	polysorbate 80	(C2H4O)w.(C2H4O)x.(C2H4O)y.(C2H4O)z.C24H44O6
Uracil	CHEBI:17568	uracil	C4H4N2O2
Urea	CHEBI:16199	urea	CH4N2O
Valeric acid	CHEBI:17418	valeric acid	C5H10O2
Vitamin 3	CHEBI:176839	vitamin B3	
Vitamin B12	CHEBI:176843	vitamin B12	
Vitamin B12 solution* (see Medium No.403)	ingredient:1845		
Vitamin B12solution (Medium No.403)	ingredient:1845		
Vitamin B12solution (see Medium No.403)	ingredient:1845		
Vitamin B12solution (see Medium No.403)*	ingredient:1845		
Vitamin B12solution* (see Medium No.403)	ingredient:1845		
Vitamin solution (see Medium No.197)	ingredient:1855		
Vitamin solution (see Medium No.221)	ingredient:1855		
Vitamin solution (see Medium No.304)	ingredient:1855		
Vitamin solution (see Medium No.403)	ingredient:1855		
Vitamin solution (see Medium No.403)*	ingredient:1855		
Vitamin solution (see Medium No.602)	ingredient:1855		
Vitamin solution (see Medium No.979)	ingredient:1855		
Vitamin solution* (see Medium No.1157)	ingredient:1855		
Vitamin solution* (see Medium No.197)	ingredient:1855		
Vitamin solution* (see Medium No.403)	ingredient:1855		
Vitamin solution* (see Medium No.556)	ingredient:1855		
Vitamin solution* (see Medium No.915)	ingredient:1855		
Vitamin solution* (see Medium No.923)	ingredient:1855		
